name,address,rating,total_ratings,reviews
Helsinki Bryggeri Brewhouse,"Sofiankatu 2, 00170 Helsinki, Finland",4.2,829,"[{'author': 'Jonathan Whitney', 'rating': 4, 'text': 'Good all-around spot with a cozy beer garden right off the main square. Food and drinks are a bit pricey but such is the cost of being in the upper NE of modern Europe. Only real qualm was that the wings are quite small on average and honestly all the beers tasted (and looked) the same…', 'time': 'a month ago'}, {'author': 'Sinan Akgul', 'rating': 5, 'text': 'Relaxed beer garden in the heart of the city. The outdoor seating area in the back was exactly what we were looking for after a long walk. The food was great, although it’s only the summer menu. The bartender was helpful in deciding what to take and she suggested ‘Sofia’ the specialty beer which I enjoyed drinking. I would definitely suggest a visit.', 'time': 'a month ago'}, {'author': 'JayC', 'rating': 5, 'text': 'The food and beer were very nice. A bit expensive though. We paid 80€ for two burgers, one portion of chicken wings and three beers. But still, it was tasty. And the curly fries were very crispy yum', 'time': 'a month ago'}, {'author': 'Stephen Gibson', 'rating': 5, 'text': 'A good variety of craft beers with a nice beer garden. I had the sampler paddle, lager, ipa, pils and stout for 12 euros. All were fresh and tasty. I did not try the food. If you are a beer lover, I would a recommend visit.', 'time': 'a week ago'}, {'author': 'Colin Sloan', 'rating': 5, 'text': 'Had a great lunch here which helped us refuel after a morning walking around Helsinki.  Some really nice beers on the tasting paddle.  Friendly service and a tasty burger.  Awesome location right in the centre of all attractions.', 'time': 'a month ago'}]"
Stadin Panimo,"Kaasutehtaankatu 1, 00540 Helsinki, Finland",4.5,770,"[{'author': 'Ludmila Hrižanovska', 'rating': 4, 'text': ""Lovely selection of Belgians and sometimes they have other great things on tap. It's possible to book a brewery tour and try some of their beers here too.\nI've been here a couple of times, but the most wonderful experience was surely on the Zwanze day, so next year hopefully I will be happy here again."", 'time': '3 years ago'}, {'author': 'riccardo liotta', 'rating': 5, 'text': 'Love the industrial environment.\nAnd great beers, of course', 'time': '2 months ago'}, {'author': 'Janne Jussila', 'rating': 5, 'text': 'One of the best, if not even the best taphouses i  Helsinki. Definitely worth the visit for any beer/sider lover in the area', 'time': '3 months ago'}, {'author': 'T.S.A.', 'rating': 5, 'text': 'Had a few brews in my time. These are always fantastic.', 'time': '8 months ago'}, {'author': 'Katrina Räty', 'rating': 5, 'text': 'One of my favourite beer spots in Helsinki. Cozy and great beer selection, also very good own beers. Would recommend for sure!', 'time': '8 months ago'}]"
Woolshed Helsinki,"Töölönlahdenkatu 3B, 00100 Helsinki, Finland",4.3,2868,"[{'author': 'Holly Baker', 'rating': 5, 'text': 'Great bar, with friendly bar staff! Food was delicious, and came out fast. Also had a great selection of imported Aussie beers which my husband was excited about.', 'time': 'a week ago'}, {'author': 'Mike Sapiton', 'rating': 3, 'text': 'I went for a classic burger. €21 for combo with fries and Zero coke.\n\nReally wanted to like it, since the patty is great — nice, tender structure, juicy and tasty. I think this place knows its way around meat really well. The rest was less impressive: fries were served almost cold, and the burger itself was in total semi-cold too, with tomatoes contrasting with the meat. Was not impressed by the pickles too.\n\nI also think that it has a little bit overkill amount of mayo, and so the aftertaste is a little too “fatty” to my liking.\n\nI think I would be better off ordering a steak, all things combined, but I guess if the dish was hot, 4 start would be justified. Also, great location.', 'time': 'a month ago'}, {'author': 'Gerry Gutowski', 'rating': 5, 'text': ""Worth every penny...nice happy hour deals, great TV's, Thursday pm 20% off meals."", 'time': 'a week ago'}, {'author': 'Teele', 'rating': 5, 'text': 'The price-quality ratio of a steak on a weekday (Monday-Thursday there are deals on steaks/ mains) is unbeatable in Helsinki area! The meal was super fresh and tasty, made of good quality ingredients. Warmly recommend this place 😊', 'time': '2 months ago'}, {'author': 'Sedthakorn Timsawad', 'rating': 5, 'text': 'I always enjoy their food here even lunch or dinner time. I have tried several times of steak, burgers but Korean bbq sauce is quite a little bit sweet of sauce. Will definitely come back again and again. 9.5/10 😉', 'time': '5 months ago'}]"
Treffi Pub & Bistro,"Hiihtomäentie 14, 00810 Helsinki, Finland",4.2,3005,"[{'author': 'Ralph Capper', 'rating': 4, 'text': 'Mushroom tagliatelle was a bit strange, the sauce was a thin liquid and the cheese in it set hard on the back of the spoon... not awful but also not Italian in any real way. Place itself is nice, and the staff were lovely.', 'time': 'in the last week'}, {'author': 'Fei', 'rating': 5, 'text': 'Treffi is an ideal place for workday lunch and it is always quite crowded during the lunch hours. Thanks to the big space it has, everyone can fit in. I would not say that the salad buffet, soup or dessert can compete against any other lunch places, but the main dish is usually above the average.', 'time': '3 months ago'}, {'author': 'Maria Demeter', 'rating': 5, 'text': 'The servjce is veey fast. The food very delicious. The restaurant very nice\nI recomand. 5 *', 'time': '2 weeks ago'}, {'author': 'Quyen Doan', 'rating': 4, 'text': ""The day I visited again, the waitress who made me Rose Collins it didn't taste as good as the previous time :/ My bf likes his hambuger but the lehtipihvi was such a disappointment for me. It tasted so bland and greasy, its sauce could not make it any better. I like the atmosphere and services in general."", 'time': 'a year ago'}, {'author': 'Domna Tzemi', 'rating': 4, 'text': 'Nice local restaurant in Herttoniemi. The food was good although a bit too salrty for me. It is quite expensive but at least the portions are quite large. The staff were friendly. I went on a Tuesday evening and there was pub quiz. There is also karaoke lounge downstairs.', 'time': 'a year ago'}]"
Bierhuis Rotterdam,"Tennispalatsinaukio 4, 00100 Helsinki, Finland",4.1,2276,"[{'author': 'Валерия Деордиева', 'rating': 5, 'text': ""Amazing, cozy place with enjoyable drinks and snacks. Staff is nice. Recommend if you're in Helsinki and want to spend great evening😍"", 'time': '3 months ago'}, {'author': 'Flavia Militaru', 'rating': 5, 'text': ""Possibly the best burger I've had in my life. So delicious the Crunchy bacon and we had peltolan blue as well. So so tasty!"", 'time': 'a month ago'}, {'author': 'Domna Tzemi', 'rating': 4, 'text': 'Nice pub in kamppi. It reminds me of traditional old pub. Drinks are quite expensive as you would expect. Nice terrace area in the summer sun was there until at least 8pm.', 'time': 'a year ago'}, {'author': 'Dee', 'rating': 3, 'text': 'Alright bar. Small selection of dutch beers and no traditional dutch bar snacks like bitterballen.', 'time': '3 months ago'}, {'author': 'Kostas Hahamis', 'rating': 5, 'text': 'The perfect spot to taste special beers. Kind stuff and plenty of bottled and tap beers.', 'time': '4 months ago'}]"
Beer Restaurant Hilpeä Hauki,"Vaasankatu 7, 00500 Helsinki, Finland",4.2,482,"[{'author': 'Matias Orre', 'rating': 4, 'text': 'A nice bar in a nice neighborhood in a nice city. Very nice. The bartenders are most often also have a nice way of talking to their customers.  So all in all I would rate this place as beeing a nice place to go to for a beer or two. Recommended!', 'time': 'a month ago'}, {'author': 'Domna Tzemi', 'rating': 4, 'text': 'Nice pub in Kallio. I visited this place on a Saturday night and it was not too busy. Pretty quite pub, good for having conversations or play games as there is no music. Also it is not too warm inside. The staff were friendly enough.', 'time': '2 years ago'}, {'author': 'Juuso Ilmelä', 'rating': 4, 'text': 'Great beer selection both bottles and draft with knowledgeable and friendly staff. Cozy atmosphere. Board games available.', 'time': '4 years ago'}, {'author': 'Katri Niemi', 'rating': 5, 'text': 'Relaxed bar with music at low volume. Pretty nice selection of tap beers', 'time': '6 months ago'}, {'author': 'Tiisetso', 'rating': 4, 'text': 'Lovely old school pub in Helsinki. Great selection of beers, lots of them from Finland with seemingly new beers every time I’ve visited. Friendly service where they’re always willing to recommend a good beer. There are board games available to play and is a lovely place to spend an afternoon or evening.', 'time': '5 years ago'}]"
Restaurant Bierhaus München,"Töölönlahdenkatu 3 B, 00101 Helsinki, Finland",4.3,1013,"[{'author': 'Petra Vřesová', 'rating': 5, 'text': 'Cozy pub really alongside the train main station, so you can use it as waiting room. Many beers on tap, some from Finland micros, some Europians, some macro brew - everyone can find the style suitable for himself.\nInteresting is Czech wall with signs.', 'time': 'a year ago'}, {'author': 'Tim Peterson', 'rating': 3, 'text': ""Excellent bar next to the railway station. Good selection of beer and whiskey, eventhough I didn't have the time to try 'em out, the latter ones that is.\n\nThe two personnel present were brilliant. However their chef is a 'wannabee Gordon Ramsey' lacking servicemindedness that shouldnt be working any kitchen.\n\nThe waitress said that it's standard for the burgers to be medium rare. I showed both people behind the bar that the burger I got was more towards the rare and got a new one. What did I get in return? A patty that was cooked close to leather belt quality. Same goes for the bun. Dry and tough.\n\nWas hungry and didn't have either the energy nor the time to ask for another burger. Ate and left.\n\n+ The atmosphere, music and personnel was great.\n\n- The food. They should always ask the customer first how meat should be made."", 'time': '8 months ago'}, {'author': 'Steven Calder', 'rating': 4, 'text': ""Good beer but at Helsinki prices so isn't cheap. The snack options were ok, so we had crisps instead.  The Aussie bar next door is worth a visit whilst you are in the area."", 'time': '4 years ago'}, {'author': 'NIl Patel (Nil0121P)', 'rating': 5, 'text': ""This is a great and unique place in Helsinki located by the train station..it is very cool and decorative and I don't think you will get a better selection of beers and whiskies in the whole of Helsinki! The lady behind the bar 'iina' gets a mention as she was great and very welcoming ! Thanks 😊👌"", 'time': '2 years ago'}, {'author': 'Alasdair MacLean', 'rating': 4, 'text': 'Great beer selection, right off the platform for the airport train. Recommended.', 'time': '3 weeks ago'}]"
Favela,"Mechelininkatu 13, 00100 Helsinki, Finland",4.5,442,"[{'author': 'Stanislav Andreev', 'rating': 5, 'text': ""On Saturday evening, it was almost fully crowded, but we managed to find a spot.\n\nThe surprisingly cool menu impressed me, especially the borscht served with an interestingly cooked meat. The original and well-balanced cocktails enhanced the overall enjoyable experience of the evening. The service was also very friendly!\n\nConsidering Helsinki's standards, the prices were reasonable. A very pleasant crowd, and board games are available. Highly recommended!"", 'time': '8 months ago'}, {'author': 'Tasha Lara', 'rating': 4, 'text': 'I went on a Thursday night and the bar was quite sleepy which makes it perfect if you prefer an intimate drink with someone. The music included a diverse range of classics and never heard of songs.', 'time': '4 months ago'}, {'author': 'Olli Linnainmaa', 'rating': 5, 'text': 'Great vibe. Nice casual atmosphere. Good food and drinks. Friendly service, and reasonable price level.', 'time': '2 months ago'}, {'author': 'Antti Mikkonen', 'rating': 5, 'text': 'Happy Birthday Favela! 10 years!', 'time': '3 weeks ago'}, {'author': 'Antti Kiuru', 'rating': 5, 'text': 'Favela is a cosy neighborhood bar, sometimes very crowded but usually not a problem to fit in. Food is good, the hamburgers/bread are good value for money.', 'time': 'a month ago'}]"
Bar Molotow,"Vaasankatu 29, 00500 Helsinki, Finland",4.2,489,"[{'author': 'paolo bergomi', 'rating': 3, 'text': ""Reasonable prices for being in the dear Helsinki. Beer was good, relaxed atmosphere. I liked the indoor style. Bartender not excessively friendly, but it's OK."", 'time': '2 years ago'}, {'author': 'Juliano Viviani', 'rating': 4, 'text': 'It was great. I think the music could be better and it kind of dark the place. But the prices are alright and the barman is really cool', 'time': 'a year ago'}, {'author': 'Irini Anderson', 'rating': 5, 'text': 'Very nice bar with good music and nice vibes', 'time': '3 months ago'}, {'author': 'M K', 'rating': 4, 'text': ""Cozy bar with good music, and they'll let you even request your own music! Reasonable prices and the regulars are quite some characters."", 'time': '12 months ago'}, {'author': 'Aparajita Nath', 'rating': 5, 'text': 'Good selection of beers, quirky wall decor and the bar tender was really friendly!', 'time': '6 years ago'}]"
Old Irish Pub - Helsinki,"Mannerheimintie 12, 00100 Helsinki, Finland",2.9,833,"[{'author': 'Mahlet Admasu', 'rating': 5, 'text': ""I have been there once with my friends it was on the weekends, the pub was hosting live  musics with local musicians both English and Finnish song's then with DJ. I've not seen traditional Irish band or music by tge time i was there.  It is a place where friends come to gather, enjoy good company and try different drinks imported from Ireland."", 'time': '5 months ago'}, {'author': 'R H', 'rating': 1, 'text': ""The worst women's toilets I have ever seen in Helsinki. I came here to watch a football match between Romania and Belgium with my friends. There is only a unisex WC on the main floor which has no toilet seats. Upstairs there is a women's toilet where 3/4 stalls also have no seat and all the floors are wet.\n\nThere is only one seat in one stall in the women's WC as of 22.6.2024.\n\nIf you want to attract female customers, which would in turn attract more customers in general, you would do well to at least offer the basic necessities for female customers.\n\nI do not feel comfortable or welcome here at the time being.\n\nAbsolutely disgusting."", 'time': '3 months ago'}, {'author': 'GB', 'rating': 5, 'text': 'Wow, I’m surprised this place is rated so low. The downstairs bar service was super slow. But once you pay the 5 euro and go up stairs, it’s awesome. Tons of beautiful people, great music, plenty of places to sit and there are a zillion bar tenders so the wait is never very long.', 'time': 'a month ago'}, {'author': 'Happy Tourist', 'rating': 5, 'text': ""Irish pub with some irish spirit. I've lived 12 years in Ireland, and this is kind of similar to irish pubs but maybe just slightly off to Finnish pubs.\nIt's ok, and prices are lower than in local pubs, so win for those visiting city."", 'time': '5 months ago'}, {'author': 'Lupinixio', 'rating': 4, 'text': ""I thoroughly enjoyed my experience at this pub, which boasts an impressive Irish-style ambiance and spacious layout. It's the perfect destination for sports enthusiasts, as the establishment offers numerous screens showcasing a wide range of sporting events. Personally, I visited to catch the F1 race, and I was not disappointed. The staff were exceptionally welcoming and attentive, ensuring that every guest felt comfortable and well-cared for.\n\nOne aspect that particularly stood out to me was the unique detail of having the beer glasses adorned with printed designs on top. This small touch added an extra element of charm and creativity to the overall experience. It's clear that the establishment pays attention to even the finest details, contributing to the overall enjoyment of the visit.\n\nIn conclusion, I highly recommend this pub to anyone seeking a delightful blend of Irish ambiance, a lively sports-watching atmosphere, and good service."", 'time': 'a year ago'}]"
